cc_id,nir,red,blue,green,emad,smad,bcmad,nir08,nir09,swir16,swir22,coastal,rededge1,rededge2,rededge3,mndwi,ndti,cai,ndvi,evi,savi,ndwi,b_g,b_r,mci,ndci,ln_bg,contrast,homogeneity,energy,ASM,correlation,mean,entropy,y,x
3,0.14120000000000002,0.1573,0.1374,0.1776,0.263184,4.520297e-06,2.2864166e-05,0.1332,0.1158,0.0651,0.0444,0.109,0.1799,0.1356,0.1453,0.46353522867737945,-0.06061510898775758,-0.11525974025974023,-0.05393634840871014,0.18558558558558563,-0.05393634840871014,0.11417816813048928,0.7736486486486486,0.8734901462174189,0.7848804891606449,0.06702253855278768,-0.2566374507698208,8.583333,0.44030845,0.12880026,0.016589506,0.9054142,20.875,6.100209,-2054025.0,3098525.0
3,0.14120000000000002,0.1573,0.1374,0.1776,0.263184,4.520297e-06,2.2864166e-05,0.1332,0.1158,0.0651,0.0444,0.109,0.1799,0.1356,0.1453,0.46353522867737945,-0.06061510898775758,-0.11525974025974023,-0.05393634840871014,0.18558558558558563,-0.05393634840871014,0.11417816813048928,0.7736486486486486,0.8734901462174189,0.7848804891606449,0.06702253855278768,-0.2566374507698208,3.8472223,0.5115322,0.1388889,0.019290123,0.9537635,20.979166,5.8902173,-2054025.0,3098515.0
3,0.1067,0.1438,0.13820000000000002,0.1734,0.22762872,5.765301e-06,2.647964e-05,0.1027,0.1134,0.051000000000000004,0.0386,0.1086,0.16160000000000002,0.1091,0.1159,0.5454545454545454,-0.0933165195460277,-0.11993517017828206,-0.1481037924151697,0.1317792068595927,-0.1481037924151697,0.23812923955730095,0.7970011534025376,0.96105702364395,0.6602722772277227,0.05828421741977737,-0.22689915301287178,1.7916666,0.61691177,0.17095186,0.029224537,0.9861308,17.57639,5.529961,-2054045.0,3098515.0
3,0.1154,0.16620000000000001,0.16090000000000002,0.19990000000000002,0.26050386,4.535532e-06,2.5878915e-05,0.11220000000000001,0.11170000000000001,0.052500000000000005,0.0388,0.1086,0.16920000000000002,0.1194,0.1262,0.5839936608557845,-0.09205135208959302,-0.19406307977736553,-0.1803977272727273,0.13501131533918417,-0.1803977272727273,0.2679987313669521,0.8049024512256128,0.9681107099879663,0.6820330969267139,0.008944543828264765,-0.2170341875080169,0.9861111,0.69027776,0.2273709,0.05169753,0.9923157,15.673611,4.9466166,-2054055.0,3098505.0
3,0.116,0.1688,0.1641,0.2024,0.26948765,5.468303e-06,2.8206985e-05,0.1153,0.1242,0.0551,0.0417,0.1095,0.1774,0.1211,0.1285,0.5720388349514562,-0.09051724137931033,-0.1995614035087719,-0.1853932584269663,0.13495907800233842,-0.1853932584269663,0.27135678391959794,0.8107707509881423,0.9721563981042654,0.6538895152198422,0.02484113229347197,-0.20976993931726523,1.1111112,0.67777777,0.22800632,0.051986884,0.9913322,15.555555,4.948634,-2054055.0,3098495.0
3,0.1032,0.1636,0.16340000000000002,0.19940000000000002,0.20708671,4.4092712e-06,2.6249409e-05,0.0818,0.12100000000000001,0.0439,0.034800000000000005,0.1058,0.1428,0.08950000000000001,0.0942,0.6391286477599671,-0.09862258953168052,-0.21396731054977716,-0.22638680659670166,0.10985686023507509,-0.22638680659670166,0.31791143423661605,0.8194583751253761,0.9987775061124696,0.7226890756302521,-0.06788511749347254,-0.19911167510183547,0.8611111,0.7027778,0.26516503,0.0703125,0.9919847,13.638889,4.6208777,-2054065.0,3098495.0
2,0.0697,0.1177,0.12860000000000002,0.1564,0.17723523,4.14508e-06,2.8788978e-05,0.082,0.1197,0.0442,0.0349,0.1052,0.1416,0.0893,0.094,0.5593220338983051,-0.14118934695366658,-0.10008554319931573,-0.256136606189968,0.06969435543505054,-0.256136606189968,0.3834586466165414,0.8222506393861894,1.0926083262531863,0.49223163841807904,0.09217123023524877,-0.19571001630769155,1.3194444,0.65498364,0.27743033,0.07696759,0.9800049,11.423611,4.6223426,-2054075.0,3098485.0
2,0.0697,0.1177,0.12860000000000002,0.1564,0.17723523,4.14508e-06,2.8788978e-05,0.082,0.1197,0.0442,0.0349,0.1052,0.1416,0.0893,0.094,0.5593220338983051,-0.14118934695366658,-0.10008554319931573,-0.256136606189968,0.06969435543505054,-0.256136606189968,0.3834586466165414,0.8222506393861894,1.0926083262531863,0.49223163841807904,0.09217123023524877,-0.19571001630769155,1.3194444,0.65498364,0.27743033,0.07696759,0.9800049,11.423611,4.6223426,-2054075.0,3098485.0
2,0.0697,0.1177,0.12860000000000002,0.1564,0.17723523,4.14508e-06,2.8788978e-05,0.082,0.1197,0.0442,0.0349,0.1052,0.1416,0.0893,0.094,0.5593220338983051,-0.14118934695366658,-0.10008554319931573,-0.256136606189968,0.06969435543505054,-0.256136606189968,0.3834586466165414,0.8222506393861894,1.0926083262531863,0.49223163841807904,0.09217123023524877,-0.19571001630769155,1.3194444,0.65498364,0.27743033,0.07696759,0.9800049,11.423611,4.6223426,-2054075.0,3098485.0
5,0.056900000000000006,0.06330000000000001,0.0702,0.0805,0.14087859,3.5837709e-06,3.2425807e-05,0.0585,0.0666,0.0429,0.0379,0.07440000000000001,0.0813,0.0597,0.06470000000000001,0.3047001620745543,-0.11961057023643944,0.029045643153527034,-0.053244592346089865,0.08673917820259283,-0.053244592346089865,0.17176128093158655,0.8720496894409937,1.1090047393364928,0.6998769987699878,0.1244813278008298,-0.13690887339275234,1.9583334,0.6271682,0.26552853,0.0705054,0.6914239,8.354167,4.430774,-2054095.0,3098475.0
