cc_id,nir,red,blue,green,emad,smad,bcmad,nir08,nir09,swir16,swir22,coastal,rededge1,rededge2,rededge3,mndwi,ndti,cai,ndvi,evi,savi,ndwi,b_g,b_r,mci,ndci,ln_bg,contrast,homogeneity,energy,ASM,correlation,mean,entropy,y,x
3.0,0.1412,0.1573,0.1374,0.1776,0.263184,4.520297e-06,2.2864166e-05,0.1332,0.1158,0.0651,0.0444,0.109,0.1799,0.1356,0.1453,0.46353522,-0.060615107,-0.11525974,-0.053936347,0.18558559,-0.053936347,0.114178166,0.7736486,0.87349015,0.7848805,0.06702254,-0.25663745,8.583333,0.44030845,0.12880026,0.016589506,0.9054142,20.875,6.100209,-2054025.0,3098525.0
3.0,0.1412,0.1573,0.1374,0.1776,0.263184,4.520297e-06,2.2864166e-05,0.1332,0.1158,0.0651,0.0444,0.109,0.1799,0.1356,0.1453,0.46353522,-0.060615107,-0.11525974,-0.053936347,0.18558559,-0.053936347,0.114178166,0.7736486,0.87349015,0.7848805,0.06702254,-0.25663745,3.8472223,0.5115322,0.1388889,0.019290123,0.9537635,20.979166,5.8902173,-2054025.0,3098515.0
3.0,0.1067,0.1438,0.1382,0.1734,0.22762872,5.765301e-06,2.647964e-05,0.1027,0.1134,0.051,0.0386,0.1086,0.1616,0.1091,0.1159,0.54545456,-0.09331652,-0.11993517,-0.14810379,0.13177921,-0.14810379,0.23812924,0.7970012,0.961057,0.6602723,0.058284216,-0.22689915,1.7916666,0.61691177,0.17095186,0.029224537,0.9861308,17.57639,5.529961,-2054045.0,3098515.0
3.0,0.1154,0.1662,0.1609,0.1999,0.26050386,4.535532e-06,2.5878915e-05,0.1122,0.1117,0.0525,0.0388,0.1086,0.1692,0.1194,0.1262,0.5839937,-0.09205135,-0.19406308,-0.18039773,0.13501132,-0.18039773,0.26799873,0.80490243,0.9681107,0.6820331,0.008944544,-0.21703419,0.9861111,0.69027776,0.2273709,0.05169753,0.9923157,15.673611,4.9466166,-2054055.0,3098505.0
3.0,0.116,0.1688,0.1641,0.2024,0.26948765,5.468303e-06,2.8206985e-05,0.1153,0.1242,0.0551,0.0417,0.1095,0.1774,0.1211,0.1285,0.5720388,-0.09051724,-0.1995614,-0.18539326,0.13495907,-0.18539326,0.2713568,0.81077075,0.9721564,0.65388954,0.024841132,-0.20976993,1.1111112,0.67777777,0.22800632,0.051986884,0.9913322,15.555555,4.948634,-2054055.0,3098495.0
3.0,0.1032,0.1636,0.1634,0.1994,0.20708671,4.4092712e-06,2.6249409e-05,0.0818,0.121,0.0439,0.0348,0.1058,0.1428,0.0895,0.0942,0.6391286,-0.09862259,-0.21396731,-0.2263868,0.10985686,-0.2263868,0.31791145,0.81945837,0.9987775,0.7226891,-0.067885116,-0.19911167,0.8611111,0.7027778,0.26516503,0.0703125,0.9919847,13.638889,4.6208777,-2054065.0,3098495.0
2.0,0.0697,0.1177,0.1286,0.1564,0.17723523,4.14508e-06,2.8788978e-05,0.082,0.1197,0.0442,0.0349,0.1052,0.1416,0.0893,0.094,0.55932206,-0.14118935,-0.10008554,-0.2561366,0.069694355,-0.2561366,0.38345864,0.82225066,1.0926083,0.49223164,0.09217123,-0.19571002,1.3194444,0.65498364,0.27743033,0.07696759,0.9800049,11.423611,4.6223426,-2054075.0,3098485.0
2.0,0.0697,0.1177,0.1286,0.1564,0.17723523,4.14508e-06,2.8788978e-05,0.082,0.1197,0.0442,0.0349,0.1052,0.1416,0.0893,0.094,0.55932206,-0.14118935,-0.10008554,-0.2561366,0.069694355,-0.2561366,0.38345864,0.82225066,1.0926083,0.49223164,0.09217123,-0.19571002,1.3194444,0.65498364,0.27743033,0.07696759,0.9800049,11.423611,4.6223426,-2054075.0,3098485.0
2.0,0.0697,0.1177,0.1286,0.1564,0.17723523,4.14508e-06,2.8788978e-05,0.082,0.1197,0.0442,0.0349,0.1052,0.1416,0.0893,0.094,0.55932206,-0.14118935,-0.10008554,-0.2561366,0.069694355,-0.2561366,0.38345864,0.82225066,1.0926083,0.49223164,0.09217123,-0.19571002,1.3194444,0.65498364,0.27743033,0.07696759,0.9800049,11.423611,4.6223426,-2054075.0,3098485.0
5.0,0.0569,0.0633,0.0702,0.0805,0.14087859,3.5837709e-06,3.2425807e-05,0.0585,0.0666,0.0429,0.0379,0.0744,0.0813,0.0597,0.0647,0.30470017,-0.11961057,0.029045643,-0.05324459,0.086739175,-0.05324459,0.17176127,0.8720497,1.1090047,0.699877,0.12448133,-0.13690887,1.9583334,0.6271682,0.26552853,0.0705054,0.6914239,8.354167,4.430774,-2054095.0,3098475.0
