,cc_id,nir,red,blue,green,emad,smad,bcmad,count,nir08,nir09,swir16,swir22,coastal,rededge1,rededge2,rededge3,mndwi,ndti,cai,ndvi,ndwi,b_g,b_r,mci,ndci,y,x,spatial_ref,time
148,6,0.022599999,0.075399995,0.102,0.1318,0.07715425,2.8306274e-06,2.204465e-05,0.0033999998,0.019399999,0.0189,0.0158,0.0149,0.081999995,0.0751,0.0245,0.0265,0.78590786,-0.2722008,-0.10869568,-0.5387755,0.70725393,0.77389985,1.3527852,0.30093208,-0.0019933397,-1957945.0,3063485.0,3832,2024-01-01
149,6,0.024,0.0755,0.102699995,0.1325,0.08210491,2.9515325e-06,2.4508163e-05,0.0033999998,0.021399999,0.0189,0.0167,0.015899999,0.0823,0.0752,0.0266,0.0286,0.7761394,-0.27403846,-0.11027024,-0.5175879,0.69329065,0.77509433,1.3602649,0.31914896,-0.0019906943,-1957935.0,3063485.0,3832,2024-01-01
150,6,0.0243,0.0749,0.1019,0.131,0.08212124,2.9653995e-06,2.4628873e-05,0.0033999998,0.021399999,0.0188,0.0167,0.015899999,0.0823,0.0753,0.0266,0.0286,0.77386594,-0.27246234,-0.10640607,-0.51008064,0.6870573,0.7778626,1.3604805,0.32270914,0.002663111,-1957925.0,3063485.0,3832,2024-01-01
151,6,0.0232,0.0726,0.1011,0.1296,0.07871829,2.5520264e-06,2.1683012e-05,0.0033,0.0199,0.016099999,0.015199999,0.014099999,0.0805,0.0722,0.024799999,0.0268,0.7900553,-0.28189912,-0.11343611,-0.51565766,0.6963351,0.78009254,1.3925619,0.32132962,-0.0027624262,-1957895.0,3063485.0,3832,2024-01-01
152,6,0.021599999,0.0757,0.106,0.1357,0.074334286,2.6566684e-06,2.1776532e-05,0.0033,0.019199999,0.0162,0.015199999,0.0139999995,0.0725,0.0726,0.024,0.026099999,0.7985421,-0.28382215,-0.18767507,-0.55601233,0.7253656,0.78113484,1.4002641,0.29752064,-0.020903578,-1957885.0,3063485.0,3832,2024-01-01
153,6,0.0222,0.0801,0.112399995,0.14209999,0.077099666,2.7130275e-06,2.1430655e-05,0.0033999998,0.0191,0.015999999,0.0156,0.0142,0.0734,0.0748,0.0242,0.0266,0.80215603,-0.27902788,-0.20990312,-0.5659824,0.72976255,0.79099226,1.4032459,0.29679143,-0.034215625,-1957865.0,3063485.0,3832,2024-01-01
154,6,0.021399999,0.078099996,0.1104,0.1397,0.077138446,2.8478205e-06,2.1852293e-05,0.0033999998,0.019,0.015899999,0.0155,0.014099999,0.0734,0.074999996,0.0241,0.0265,0.80025774,-0.2828283,-0.20130578,-0.56984925,0.7343265,0.79026484,1.4135724,0.28533334,-0.020248208,-1957855.0,3063485.0,3832,2024-01-01
155,6,0.0207,0.0755,0.1043,0.13159999,0.07512792,2.9091298e-06,2.0508054e-05,0.0033999998,0.0186,0.0155,0.015199999,0.014099999,0.0733,0.0743,0.024,0.025999999,0.7929155,-0.27088362,-0.17454956,-0.56964654,0.728168,0.79255325,1.381457,0.27860028,-0.008010667,-1957835.0,3063485.0,3832,2024-01-01
156,6,0.0209,0.0777,0.1092,0.1373,0.075322114,2.9614566e-06,1.9940906e-05,0.0033999998,0.0186,0.0155,0.0150999995,0.014099999,0.0731,0.074099995,0.023899999,0.025999999,0.80183727,-0.2772093,-0.19802523,-0.5760649,0.73577756,0.7953387,1.4054055,0.2820513,-0.023715425,-1957845.0,3063485.0,3832,2024-01-01
157,6,0.021399999,0.078099996,0.1104,0.1397,0.077138446,2.8478205e-06,2.1852293e-05,0.0033999998,0.019,0.015899999,0.0155,0.014099999,0.0734,0.074999996,0.0241,0.0265,0.80025774,-0.2828283,-0.20130578,-0.56984925,0.7343265,0.79026484,1.4135724,0.28533334,-0.020248208,-1957855.0,3063485.0,3832,2024-01-01
