,cc_id,nir,red,blue,green,emad,smad,bcmad,count,nir08,nir09,swir16,swir22,coastal,rededge1,rededge2,rededge3,y,x,spatial_ref,time,cai,ndvi,ndwi,mndwi,ndti,b_g,b_r,mci,ndci,stumpf,ln_bg
515,8,0.049399998,0.051799998,0.0676,0.0663,0.11755461,1.350966e-06,2.8593158e-05,0.0028,0.054399997,0.0594,0.0497,0.046099998,0.0652,0.0557,0.0535,0.055,-1058555.0,-302515.0,3832,2024-01-01,-0.018072259,-0.023715412,0.14606743,0.14310344,-0.122777306,1.0196078,1.3050193,0.88689405,0.036279093,3.3050761,0.019418027
516,8,0.0503,0.0546,0.0698,0.068399996,0.121252686,1.3098925e-06,2.6301395e-05,0.0028,0.0541,0.0607,0.0512,0.047799997,0.0633,0.057699997,0.054399997,0.0561,-1058585.0,-302475.0,3832,2024-01-01,-0.04883545,-0.04099144,0.15248524,0.14381269,-0.11219509,1.0204679,1.2783883,0.8717505,0.027604602,3.3204165,0.020261224
517,8,0.051099997,0.057,0.072799996,0.0755,0.12079651,1.4622151e-06,2.743759e-05,0.0028,0.0554,0.0583,0.0514,0.048,0.067,0.058399998,0.055099998,0.056599997,-1058645.0,-302435.0,3832,2024-01-01,-0.041487798,-0.054579124,0.19273302,0.18991332,-0.13962263,0.9642384,1.277193,0.875,0.012131695,3.0990028,-0.036416706
518,8,0.0512,0.055299997,0.0699,0.066599995,0.121726364,1.0147481e-06,2.8062897e-05,0.0028,0.0557,0.057699997,0.0517,0.0482,0.0641,0.058,0.0552,0.0563,-1058665.0,-302485.0,3832,2024-01-01,-0.04328359,-0.038497638,0.13073002,0.12595095,-0.09269892,1.0495496,1.2640145,0.8827586,0.023830548,2.8692095,0.0483611
519,8,0.0512,0.054899998,0.0703,0.0657,0.11830637,1.4906764e-06,2.7859043e-05,0.0029,0.0541,0.061699998,0.0513,0.0471,0.063,0.0579,0.0545,0.0554,-1058595.0,-302535.0,3832,2024-01-01,-0.054763664,-0.03487276,0.12403767,0.12307694,-0.08955227,1.0700152,1.2805101,0.88428324,0.026595766,2.6974583,0.06767285
520,8,0.051799998,0.056199998,0.0721,0.067099996,0.12204758,1.3111382e-06,2.6086931e-05,0.003,0.0554,0.0648,0.0528,0.048899997,0.066,0.0587,0.055999998,0.0574,-1058555.0,-302555.0,3832,2024-01-01,-0.044170883,-0.040740743,0.12867956,0.119266026,-0.088402264,1.0745157,1.2829182,0.88245314,0.021758063,2.6869867,0.071870044
521,8,0.0532,0.0574,0.072799996,0.069699995,0.12956356,1.1194885e-06,2.7204102e-05,0.003,0.057699997,0.0652,0.0546,0.050699998,0.0673,0.0611,0.058,0.059299998,-1058495.0,-302595.0,3832,2024-01-01,-0.039257646,-0.03797469,0.13425547,0.12148025,-0.09677417,1.0444764,1.2682927,0.87070376,0.031223625,2.9646444,0.043515693
522,8,0.052199997,0.0572,0.0735,0.0685,0.12573801,1.1929571e-06,2.796851e-05,0.003,0.0572,0.065,0.053799998,0.0501,0.0687,0.0596,0.057,0.0583,-1058435.0,-302635.0,3832,2024-01-01,-0.033755273,-0.045703866,0.13504557,0.12019623,-0.08989656,1.0729928,1.284965,0.8758389,0.020547943,2.7144015,0.07045175
523,8,0.052699998,0.0578,0.0739,0.0692,0.12607631,8.074224e-07,2.5909269e-05,0.0030999999,0.056399997,0.0663,0.0535,0.0506,0.069,0.06,0.0567,0.0583,-1058375.0,-302675.0,3832,2024-01-01,-0.03428972,-0.046153855,0.13535687,0.12795436,-0.0897638,1.067919,1.2785467,0.87833333,0.018675722,2.757001,0.06571191
524,8,0.0539,0.0594,0.0751,0.0712,0.11722114,1.0962784e-06,2.6562928e-05,0.0032,0.0581,0.067499995,0.0552,0.051599998,0.070599996,0.0626,0.059,0.060099997,-1058415.0,-302755.0,3832,2024-01-01,-0.030885395,-0.04854369,0.13828936,0.12658228,-0.09035221,1.0547752,1.2643098,0.86102235,0.026229525,2.885797,0.053327706
