,cc_id,nir,red,blue,green,emad,smad,bcmad,nir08,nir09,swir16,swir22,coastal,rededge1,rededge2,rededge3,cai,ndvi,evi,savi,ndwi,mndwi,ndti,b_g,b_r,mci,ndci,ln_bg,glcm_mean
762,2,0.17119999,0.21959999,0.20199999,0.2462,0.17397705,2.5372863e-06,1.5032431e-05,0.1265,0.0815,0.078999996,0.0609,0.0959,0.191,0.133,0.138,-0.35615978,-0.12384851,0.21400695,-0.12384851,0.12668559,0.51414514,-0.057106063,0.82047117,0.9198543,0.89633507,-0.069654144,-0.19787651,58.95238
763,2,0.1427,0.1723,0.15879999,0.1937,0.15212135,2.3745833e-06,1.4681202e-05,0.12879999,0.1015,0.0884,0.0665,0.0949,0.18689999,0.1382,0.1418,-0.25187227,-0.093968235,0.18716389,-0.093968235,0.095274724,0.3732719,-0.05846996,0.8198244,0.92164826,0.7635099,0.040645864,-0.19866513,56.666668
764,2,0.1427,0.1723,0.15879999,0.1937,0.15212135,2.3745833e-06,1.4681202e-05,0.12879999,0.1015,0.0884,0.0665,0.0949,0.18689999,0.1382,0.1418,-0.25187227,-0.093968235,0.18716389,-0.093968235,0.095274724,0.3732719,-0.05846996,0.8198244,0.92164826,0.7635099,0.040645864,-0.19866513,56.666668
765,2,0.083299994,0.1354,0.1451,0.17889999,0.13295469,1.8219173e-06,1.7423557e-05,0.0773,0.0861,0.0609,0.051799998,0.096,0.1285,0.0824,0.0845,-0.20364992,-0.2382259,0.090222284,-0.2382259,0.1977931,0.4920767,-0.13840277,0.8110677,1.0716395,0.648249,-0.026146261,-0.20940377,53.07143
766,2,0.0561,0.0685,0.0972,0.1042,0.128673,1.5671908e-06,2.4600164e-05,0.0569,0.0668,0.0547,0.051099997,0.081099994,0.0683,0.0578,0.059299998,-0.09029728,-0.09951845,0.097209044,-0.09951845,0.11675471,0.3115167,-0.20671687,0.9328215,1.4189781,0.82137626,-0.0014619586,-0.0695414,37.25
767,2,0.2873,0.166,0.1173,0.1507,0.12461448,1.0695785e-06,7.199317e-06,0.2874,0.16939999,0.2625,0.18689999,0.0762,0.19649999,0.2434,0.2679,-0.21240307,0.2675932,0.39346656,0.2675932,-0.22524801,-0.2705711,0.04831068,0.7783676,0.70662653,1.4620866,0.084137924,-0.25055638,47.011906
768,2,0.1999,0.1505,0.125,0.15619999,0.09445657,6.320655e-07,6.150586e-06,0.2399,0.17109999,0.2207,0.1559,0.0792,0.1815,0.2077,0.2252,-0.22428991,0.14098173,0.29968253,0.14098173,-0.0795863,-0.17113294,-0.01858491,0.80025613,0.8305648,1.1013774,0.0933735,-0.22282343,38.107143
769,2,0.1999,0.1505,0.125,0.15619999,0.09445657,6.320655e-07,6.150586e-06,0.2399,0.17109999,0.2207,0.1559,0.0792,0.1815,0.2077,0.2252,-0.22428991,0.14098173,0.29968253,0.14098173,-0.0795863,-0.17113294,-0.01858491,0.80025613,0.8305648,1.1013774,0.0933735,-0.22282343,38.107143
770,2,0.2548,0.16409999,0.12619999,0.1592,0.09235862,6.7109465e-07,6.308433e-06,0.2207,0.17119999,0.18879999,0.1321,0.0779,0.1858,0.1971,0.211,-0.23664868,0.21651946,0.36576688,0.21651946,-0.16213395,-0.08505746,0.0151561815,0.7927135,0.76904327,1.371367,0.062017746,-0.23229337,42.559525
771,2,0.21319999,0.086799994,0.063999996,0.0824,0.10978889,5.530417e-07,8.091989e-06,0.2402,0.2488,0.2631,0.1874,0.0668,0.13159999,0.1867,0.2126,0.02140675,0.42133334,0.3558214,0.42133334,-0.2581293,-0.52301013,0.026004683,0.77669895,0.73732716,1.6200608,0.20512821,-0.25270244,40.04762
