,cc_id,nir,red,blue,green,emad,smad,bcmad,count,nir08,nir09,swir16,swir22,coastal,rededge1,rededge2,rededge3,cai,ndvi,evi,savi,ndwi,mndwi,ndti,b_g,b_r,mci,ndci,ln_bg,glcm_contrast,glcm_homogeneity,glcm_entropy,glcm_energy,glcm_correlation,glcm_mean
94,2,0.0598,0.0652,0.0799,0.0915,0.076754145,1.8737256e-06,1.4954535e-05,0.0052,0.043399997,0.1529,0.033999998,0.025999999,0.0845,0.0863,0.047399998,0.052699998,0.027980557,-0.043200016,0.0989727,-0.043200016,0.0781419,0.45816737,-0.16783662,0.873224,1.22546,0.6929316,0.13927393,-0.13556315,309.2381,0.24694215,5.7611322,0.15338212,0.29544145,56.738094
95,2,0.076799996,0.0682,0.0777,0.0892,0.07998935,7.753849e-07,1.0497852e-05,0.005,0.12889999,0.1505,0.0832,0.0556,0.0826,0.1091,0.118499994,0.1291,0.030567694,0.059310324,0.1370606,0.059310324,0.029810105,0.03480277,-0.13341804,0.8710762,1.1392962,0.7039413,0.23068245,-0.13802579,369.09525,0.27114516,5.7907777,0.15338212,0.607514,61.190475
96,2,0.0513,0.0665,0.0828,0.0973,0.07811333,1.9400507e-06,1.6549518e-05,0.0052,0.043399997,0.1528,0.0339,0.025899999,0.0845,0.086399995,0.047399998,0.0528,0.01016138,-0.12903227,0.074460395,-0.12903227,0.11392299,0.4832317,-0.18803419,0.85097635,1.2451128,0.59375006,0.1301504,-0.16137093,307.16666,0.25804117,5.7193494,0.1561295,0.26106426,58.464287
97,2,0.0233,0.0372,0.0592,0.0648,0.058289073,4.8538354e-06,2.643114e-05,0.0053999997,0.0212,0.024999999,0.0196,0.0168,0.0558,0.0493,0.0229,0.0256,-0.029565234,-0.22975208,0.026230527,-0.22975208,0.11482659,0.53554505,-0.27058825,0.91358024,1.5913979,0.4726166,0.13988438,-0.090384066,6.6666665,0.3804108,5.1537566,0.1912188,0.582238,31.595238
98,2,0.0279,0.040599998,0.059299998,0.0663,0.067014396,6.068158e-06,2.7083706e-05,0.0053999997,0.0235,0.028199999,0.020499999,0.0175,0.056399997,0.0661,0.028099999,0.0313,-0.02506483,-0.18540145,0.03525854,-0.18540145,0.105008036,0.5276498,-0.24041161,0.8944193,1.4605912,0.42208773,0.23898783,-0.11158058,3.357143,0.5322883,5.0824122,0.2068827,0.77844703,32.416668
99,2,0.0263,0.0345,0.0579,0.0633,0.06443784,5.8533788e-06,2.856196e-05,0.0053999997,0.0231,0.0286,0.0207,0.0175,0.0557,0.0459,0.0243,0.026899999,-0.019366197,-0.1348684,0.039108947,-0.1348684,0.10207882,0.50714284,-0.2944785,0.914692,1.6782609,0.57298476,0.14179105,-0.0891679,2.857143,0.5579832,4.809366,0.22524866,0.84292215,31.02381
100,2,0.023599999,0.029199999,0.0556,0.0591,0.06706561,6.146589e-06,3.0041429e-05,0.0053999997,0.0244,0.0287,0.020299999,0.016999999,0.055999998,0.0512,0.026999999,0.030399999,0.0035842233,-0.1060606,0.038117163,-0.1060606,0.09926376,0.48866504,-0.33861834,0.9407784,1.9041096,0.4609375,0.27363184,-0.061047688,3.8095238,0.5022969,5.160673,0.1956152,0.81754994,30.47619
101,2,0.0254,0.0338,0.0561,0.0592,0.06917575,6.002584e-06,3.159457e-05,0.0052,0.0244,0.024999999,0.0201,0.016999999,0.055999998,0.0519,0.028199999,0.0314,-0.00089207577,-0.14189188,0.03678247,-0.14189188,0.09415997,0.49306428,-0.27311832,0.9476351,1.6597633,0.4894027,0.21120188,-0.053785753,6.8333335,0.38690153,5.731487,0.14580296,0.6658859,28.488094
102,2,0.0218,0.0289,0.054199997,0.0536,0.068375744,6.392598e-06,3.1016527e-05,0.0052,0.0246,0.024999999,0.0201,0.016999999,0.055999998,0.051999997,0.0285,0.0317,0.016333945,-0.14003943,0.032458477,-0.14003943,0.09020739,0.4545455,-0.29939395,1.011194,1.8754325,0.4192308,0.2855377,0.011131802,8.023809,0.34111398,5.826725,0.13984929,0.726215,28.964285
103,2,0.0196,0.023699999,0.0512,0.046099998,0.05936653,5.9390422e-06,3.3408953e-05,0.0053,0.0209,0.0265,0.0197,0.0166,0.0572,0.0311,0.021399999,0.023699999,0.05535056,-0.09468819,0.032527648,-0.09468819,0.07664978,0.4012158,-0.32091692,1.1106291,2.1603377,0.6302251,0.13503651,0.10492658,8.761905,0.30729583,5.826725,0.13780758,0.83258593,32.214287
104,2,0.0177,0.0229,0.0565,0.052899998,0.060058862,6.000262e-06,3.1647207e-05,0.0052,0.018299999,0.0255,0.019199999,0.0165,0.0565,0.0273,0.0175,0.019299999,0.0,-0.12807882,0.02919259,-0.12807882,0.10081347,0.46740633,-0.39577833,1.068053,2.467249,0.6483516,0.0876494,0.065837376,7.7380953,0.31634346,6.017201,0.12931882,0.8829266,33.392857
