cc_id,nir,red,blue,green,emad,smad,bcmad,nir08,nir09,swir16,swir22,coastal,rededge1,rededge2,rededge3,mndwi,ndti,cai,ndvi,evi,savi,ndwi,b_g,b_r,mci,ndci,ln_bg,contrast,homogeneity,energy,ASM,correlation,mean,entropy,y,x
6,0.0223,0.0307,0.0816,0.0927,0.024926031,4.629612e-07,5.987892e-06,0.0245,0.124,0.0279,0.0233,0.09570000000000001,0.028200000000000003,0.0227,0.0247,0.5373134328358208,-0.5024311183144246,0.07952622673434856,-0.15849056603773587,0.042136248948696386,-0.15849056603773587,0.6121739130434782,0.8802588996763754,2.6579804560260585,0.7907801418439716,-0.0424448217317487,-0.12753921060174817,0.5833333,0.775,0.39136118,0.15316358,0.7046875,2.1111112,3.2020576,788255.0,2378735.0
8,0.028300000000000002,0.022600000000000002,0.0352,0.0391,0.034962643,5.360961e-07,9.676151e-06,0.0356,0.22290000000000001,0.0256,0.019,0.059500000000000004,0.0286,0.0323,0.037700000000000004,0.20865533230293662,-0.26742301458670986,0.2565997888067582,0.11198428290766209,0.05350594510501168,0.11198428290766209,0.16023738872403562,0.9002557544757033,1.5575221238938053,0.9895104895104896,0.11718749999999996,-0.10507638438726874,1.75,0.7813063,0.49564072,0.24565972,0.7757009,1.125,2.9050102,783665.0,2370415.0
8,0.0523,0.0448,0.0629,0.07390000000000001,0.082251675,1.4025569e-06,1.3797056e-05,0.0826,0.23090000000000002,0.0745,0.054400000000000004,0.0766,0.0626,0.0743,0.08120000000000001,-0.004043126684636048,-0.24515585509688295,0.09820788530465951,0.07723995880535531,0.10119503149467239,0.07723995880535531,0.17115689381933444,0.8511502029769958,1.4040178571428572,0.8354632587859424,0.1657355679702049,-0.16116666424776135,0.19444445,0.9027778,0.50974303,0.25983796,0.9299124,2.0416667,2.641388,783645.0,2370145.0
2,0.42060000000000003,0.2953,0.2248,0.28250000000000003,0.34416538,1.2498915e-06,1.5381365e-05,0.3373,0.2545,0.17320000000000002,0.09530000000000001,0.1252,0.33640000000000003,0.34550000000000003,0.3685,0.23985077902128593,0.022152994115610898,-0.2845714285714286,0.17502444475485407,0.5019915029208709,0.17502444475485407,-0.19641587256435783,0.7957522123893804,0.7612597358618354,1.250297265160523,0.06506252968181102,-0.22846743256695975,1.8888888,0.58300656,0.19617288,0.038483795,0.82373273,4.5555553,5.082422,782515.0,2365645.0
7,0.1004,0.10300000000000001,0.1206,0.1506,0.10745678,6.870627e-07,8.836098e-06,0.17350000000000002,0.21730000000000002,0.1457,0.0847,0.0965,0.1598,0.1497,0.1751,0.016537293283834003,-0.18769716088328073,-0.11100875172731457,-0.012782694198623426,0.18184052094851944,-0.012782694198623426,0.20000000000000004,0.8007968127490039,1.170873786407767,0.6282853566958698,0.21613394216133935,-0.2221480310727082,0.6388889,0.74722224,0.27812478,0.077353396,0.8595658,3.4444444,4.098862,782085.0,2364095.0
2,0.49160000000000004,0.3276,0.22080000000000002,0.2908,0.14494137,1.8416047e-07,4.647362e-06,0.48660000000000003,0.41390000000000005,0.2277,0.12560000000000002,0.095,0.3045,0.4007,0.47400000000000003,0.12169720347155255,0.05950840879689521,-0.3983533882203927,0.20019531250000003,0.5004441483455474,0.20019531250000003,-0.2566462167689162,0.7592847317744155,0.673992673992674,1.614449917898194,-0.03654485049833889,-0.27537843125642397,3.4027777,0.5965749,0.34998897,0.12249228,0.58143014,3.7152777,4.141013,792195.0,2342035.0
2,0.436,0.2878,0.21030000000000001,0.26780000000000004,0.32188317,7.6919196e-07,1.3694067e-05,0.3684,0.2939,0.1752,0.0985,0.0955,0.3025,0.3277,0.3659,0.20902934537246057,0.03599712023038149,-0.37540876389797256,0.20475269411439623,0.5059443095455837,0.20475269411439623,-0.23898834896277346,0.7852875280059746,0.7307157748436415,1.4413223140495868,0.02490259190242248,-0.24170535054841807,1.3333334,0.6666667,0.36324158,0.13194445,0.47794563,3.0277777,3.3713455,793555.0,2342005.0
4,0.1998,0.1043,0.0979,0.1263,0.35127956,3.7172435e-06,2.2939073e-05,0.1966,0.15180000000000002,0.07400000000000001,0.0478,0.1165,0.17950000000000002,0.19140000000000001,0.21130000000000002,0.2611083374937593,-0.09540329575021679,0.08675373134328361,0.31404143373890164,0.3621203097081596,0.31404143373890164,-0.2253909843606256,0.77513855898654,0.9386385426653883,1.1130919220055708,0.2649753347427766,-0.25471347981998066,3.1111112,0.53464055,0.23261298,0.054108795,0.7300392,2.375,4.74806,794225.0,2341915.0
6,0.10450000000000001,0.09910000000000001,0.10450000000000001,0.12380000000000001,0.14923222,3.2097755e-06,1.6103468e-05,0.09860000000000001,0.08700000000000001,0.0555,0.0507,0.1052,0.1499,0.1155,0.12430000000000001,0.380925822643614,-0.11081202332884701,0.0033381020505483657,0.026522593320235766,0.17714535423608457,0.026522593320235766,0.08453788874288216,0.8441033925686592,1.0544904137235116,0.6971314209472982,0.20401606425702812,-0.16948028884562996,0.2361111,0.8819444,0.56476736,0.3189622,0.55189455,3.4791667,1.8601594,794125.0,2341655.0
4,0.1,0.0839,0.08410000000000001,0.10360000000000001,0.14612134,3.56161e-06,1.791109e-05,0.075,0.1927,0.051800000000000006,0.045200000000000004,0.1258,0.1071,0.07970000000000001,0.0917,0.33333333333333337,-0.10506666666666671,0.19866603144354447,0.08754758020663406,0.17077057523261194,0.08754758020663406,0.0176817288801572,0.8117760617760618,1.00238379022646,0.9337068160597572,0.12146596858638742,-0.20853076284648034,0.25,0.875,0.31303966,0.09799383,0.9711024,5.2777777,3.6258342,794365.0,2342085.0
4,0.1564,0.08560000000000001,0.07970000000000001,0.0985,0.27475777,3.6703793e-06,2.7875383e-05,0.1651,0.1978,0.0704,0.0494,0.09770000000000001,0.1355,0.1492,0.1726,0.16637063351095324,-0.0700706137968495,0.10146561443066518,0.29256198347107437,0.2848216367451621,0.29256198347107437,-0.22714790113770109,0.8091370558375635,0.9310747663551402,1.1542435424354243,0.2256897331524197,-0.21178696238187383,0.041666668,0.9791667,0.94500595,0.89303625,0.37841725,2.0347223,0.3962811,794055.0,2342115.0
5,0.1395,0.08990000000000001,0.08560000000000001,0.1052,0.26439714,2.823937e-06,1.8863948e-05,0.21910000000000002,0.30820000000000003,0.1042,0.0655,0.0911,0.2136,0.2068,0.21780000000000002,0.004775549188156642,-0.07842132239876984,0.031126202603282343,0.21621621621621623,0.24963834506702676,0.21621621621621623,-0.1401716387413159,0.8136882129277567,0.9521690767519466,0.6530898876404495,0.40757825370675455,-0.20617801715591297,0.125,0.9375,0.82606786,0.6823881,0.3997221,2.1180556,0.9670741,793995.0,2342105.0
4,0.12390000000000001,0.09390000000000001,0.0951,0.1101,0.15050673,2.4453848e-06,1.8415602e-05,0.1062,0.2676,0.07350000000000001,0.060700000000000004,0.1017,0.1164,0.1047,0.1227,0.19934640522875813,-0.0794117647058823,0.03353658536585363,0.1377410468319559,0.2216005338534983,0.1377410468319559,-0.058974358974359,0.8637602179836512,1.012779552715655,1.0644329896907216,0.10699001426533519,-0.14646007417728968,0.055555556,0.9722222,0.6761479,0.45717594,0.8867034,2.5694444,1.2947564,793925.0,2342085.0
4,0.0976,0.09970000000000001,0.1024,0.1149,0.14237478,9.594202e-07,1.4879658e-05,0.1022,0.2303,0.0799,0.0699,0.10550000000000001,0.11750000000000001,0.0998,0.1081,0.17967145790554417,-0.07082945013979493,0.014911014911014936,-0.010643689812468344,0.1555292088812244,-0.010643689812468344,0.08141176470588232,0.8912097476066144,1.0270812437311936,0.8306382978723404,0.08195211786372006,-0.11517547224930262,0.18055555,0.9097222,0.67293066,0.45283565,0.5736734,2.7569444,1.5971012,793875.0,2342085.0
7,0.2253,0.127,0.11510000000000001,0.1496,0.22160925,1.0289311e-06,1.4394599e-05,0.28140000000000004,0.26780000000000004,0.1282,0.0745,0.0886,0.224,0.2728,0.3055,0.07703383729301655,-0.08170643528561101,-0.1300932744231714,0.27902355946636387,0.38810551132067084,0.27902355946636387,-0.20192051213656972,0.7693850267379679,0.9062992125984253,1.0058035714285714,0.2763532763532764,-0.26216374981253987,0.5833333,0.80833334,0.5234656,0.2740162,0.61575603,2.6805556,2.8163695,789665.0,2343295.0
7,0.1796,0.1212,0.1131,0.14780000000000001,0.18270883,2.8201996e-06,1.5553374e-05,0.17980000000000002,0.2626,0.07060000000000001,0.049300000000000004,0.09050000000000001,0.20420000000000002,0.19340000000000002,0.2156,0.35347985347985345,-0.0988847583643123,-0.11100196463654222,0.19414893617021278,0.3096688866846158,0.19414893617021278,-0.09712889431887597,0.7652232746955344,0.9331683168316832,0.8795298726738491,0.2550706822372465,-0.26758762539202674,0.2638889,0.88472223,0.69012547,0.47627315,0.58838576,2.9236112,1.9097803,789695.0,2343255.0
7,0.19940000000000002,0.1187,0.1087,0.1409,0.17381436,2.9926657e-06,1.4540681e-05,0.1602,0.2564,0.0687,0.0502,0.08850000000000001,0.193,0.1757,0.1955,0.34446564885496184,-0.0855161787365177,-0.10243407707910748,0.25369380697893745,0.34642221918183064,0.25369380697893745,-0.1719071407581546,0.7714691270404542,0.91575400168492,1.033160621761658,0.23837022778312483,-0.2594586247774708,0.20833333,0.8958333,0.6644204,0.44145447,0.90650564,2.3958333,2.0372913,789735.0,2343225.0
