cc_id,nir,red,blue,green,emad,smad,bcmad,nir08,nir09,swir16,swir22,coastal,rededge1,rededge2,rededge3,mndwi,ndti,cai,ndvi,evi,savi,ndwi,b_g,b_r,mci,ndci,ln_bg,contrast,homogeneity,energy,ASM,correlation,mean,entropy,y,x
2,0.1748,0.1459,0.1092,0.1583,0.17682302,2.3105024e-06,2.0121348e-05,0.12710000000000002,0.0965,0.0901,0.0562,0.0794,0.1577,0.1231,0.1328,0.2745571658615137,-0.04076265614727151,-0.15800636267232243,0.09011537262238856,0.23643599740090973,0.09011537262238856,-0.04953467427199044,0.6898294377763741,0.748457847840987,1.108433734939759,0.038866930171278014,-0.37131090357616164,11.541667,0.2995939,0.14731391,0.021701388,0.45142227,8.590278,5.8089013,-2044675.0,3065895.0
2,0.19970000000000002,0.1563,0.11460000000000001,0.1651,0.23455717,1.6487121e-06,1.8275188e-05,0.1545,0.1466,0.09960000000000001,0.0594,0.06720000000000001,0.168,0.15230000000000002,0.16010000000000002,0.247449943332074,-0.02738021157436217,-0.26072607260726066,0.12191011235955063,0.26834898278560254,0.12191011235955063,-0.09484649122807022,0.6941247728649304,0.7332053742802304,1.1886904761904762,0.036077705827937144,-0.36510354664544314,11.736111,0.27614158,0.1367897,0.01871142,0.4501656,8.590278,5.9443855,-2044665.0,3065895.0
2,0.1597,0.1153,0.0913,0.1332,0.20274077,1.355058e-06,1.9626808e-05,0.1773,0.1479,0.10840000000000001,0.0653,0.06770000000000001,0.17420000000000002,0.16970000000000002,0.184,0.10264900662251655,-0.07203219315895378,-0.14842767295597478,0.16145454545454546,0.2433683308335119,0.16145454545454546,-0.09047456469784906,0.6854354354354354,0.7918473547267997,0.9167623421354764,0.2034542314335061,-0.37770097050536605,10.125,0.25352055,0.1419795,0.02015818,0.3798347,7.3680553,5.791608,-2044635.0,3065885.0
3,0.11280000000000001,0.09330000000000001,0.0771,0.1105,0.207431,1.8710851e-06,2.126293e-05,0.1549,0.1471,0.0998,0.0596,0.0674,0.16690000000000002,0.1519,0.15960000000000002,0.05087969567284832,-0.08439646712463196,-0.06712802768166089,0.09461426491994179,0.17243112349796688,0.09461426491994179,-0.01030004478280345,0.6977375565610859,0.8263665594855305,0.6758538046734571,0.2828593389700231,-0.35991224038852376,10.819445,0.27482182,0.1367897,0.01871142,0.5032394,7.923611,5.9443855,-2044655.0,3065885.0
2,0.1457,0.12560000000000002,0.0975,0.14170000000000002,0.15270364,2.0633279e-06,1.9560344e-05,0.1,0.1014,0.0755,0.0497,0.0814,0.1315,0.0955,0.10590000000000001,0.30478821362799274,-0.06023194912083801,-0.08999441028507547,0.0740877257648359,0.20431488378066,0.0740877257648359,-0.01391788448155872,0.6880733944954127,0.7762738853503184,1.1079847908745246,0.022948269155970397,-0.37385976869283344,10.861111,0.33157602,0.15119126,0.022858797,0.5218019,7.9305553,5.6804967,-2044695.0,3065895.0
3,0.12430000000000001,0.11370000000000001,0.0917,0.1303,0.1468248,1.8908083e-06,2.0350126e-05,0.0999,0.10250000000000001,0.0758,0.0502,0.0821,0.13190000000000002,0.0956,0.1058,0.2644347404172731,-0.06803278688524586,-0.05523590333716914,0.04453781512605041,0.17613407821229052,0.04453781512605041,0.023566378633150007,0.70376055257099,0.8065083553210202,0.9423805913570886,0.07410423452768732,-0.3513171048683803,10.097222,0.32581308,0.15182786,0.023051698,0.56579554,7.6597223,5.717372,-2044705.0,3065895.0
3,0.1044,0.1023,0.0849,0.1178,0.12170952,1.9598692e-06,1.9769104e-05,0.0723,0.1034,0.058800000000000005,0.042,0.0818,0.1043,0.0713,0.07780000000000001,0.33408833522083803,-0.0704225352112676,-0.01859628074385126,0.010159651669085654,0.14674742244209163,0.010159651669085654,0.06030603060306028,0.7207130730050934,0.8299120234604106,1.0009587727708533,0.009680542110358188,-0.3275141779001847,9.347222,0.33226106,0.1583577,0.02507716,0.6031823,7.4930553,5.65819,-2044715.0,3065895.0
2,0.08660000000000001,0.07010000000000001,0.0636,0.0879,0.12846792,3.827703e-06,2.3219509e-05,0.0621,0.1495,0.0427,0.0281,0.069,0.0916,0.061200000000000004,0.0694,0.3460949464012252,-0.11265822784810123,0.040723981900452504,0.10529674537332483,0.14210832847990684,0.10529674537332483,0.007449856733524329,0.7235494880546075,0.9072753209700427,0.9454148471615722,0.1329622758194186,-0.32358633434505485,9.5,0.25775346,0.15214516,0.023148147,0.43199852,6.888889,5.612798,-2044625.0,3065875.0
2,0.09530000000000001,0.08120000000000001,0.0684,0.09720000000000001,0.20339635,1.9025981e-06,2.1453468e-05,0.1547,0.1477,0.1,0.0599,0.068,0.1668,0.1515,0.1593,-0.01419878296146043,-0.08968609865470852,-0.0029325513196480756,0.07988668555240794,0.1468443197755961,0.07988668555240794,0.009870129870129864,0.7037037037037037,0.8423645320197044,0.5713429256594724,0.34516129032258064,-0.3513978868378886,11.930555,0.2749978,0.13608277,0.018518519,0.4834442,8.354167,5.9721637,-2044665.0,3065885.0
6,0.0584,0.07100000000000001,0.0737,0.0956,0.11041975,4.477626e-06,2.3032926e-05,0.047900000000000005,0.0329,0.0273,0.023,0.0711,0.0989,0.055,0.0616,0.5557363710333604,-0.14765906362545014,-0.017955801104972413,-0.09737248840803714,0.08050233456770244,-0.09737248840803714,0.24155844155844158,0.7709205020920502,1.0380281690140845,0.5904954499494439,0.16421424367274864,-0.2601700208620647,3.0416667,0.59432507,0.35977316,0.12943673,0.36693767,5.8125,3.7941027,-2044685.0,3065835.0
