,param,importance
0,nir,0.00769739736233022
1,red,0.0571054407585853
2,blue,0.02922858641496913
3,green,0.09943970962447052
4,emad,0.008942306234482887
5,smad,0.009490208837803207
6,bcmad,0.006322566410889582
7,count,0.016320808140133522
8,nir08,0.01657673374402617
9,nir09,0.019381339128583277
10,swir16,0.008265070080001245
11,swir22,0.011699979406518356
12,coastal,0.01296129626488058
13,rededge1,0.03035477445972409
14,rededge2,0.01642007025255333
15,rededge3,0.013024296650055058
16,cai,0.02548323551204753
17,ndvi,0.07659415006519048
18,ndwi,0.03944849814375171
19,mndwi,0.05572926174844128
20,ndti,0.009724387824371817
21,b_g,0.16231355918954216
22,b_r,0.022443411250123238
23,mci,0.08648049639279196
24,ndci,0.017795863043889835
25,ln_bg,0.1295724600737625
26,stumpf,0.011184092986081131
