,param,importance
0,nir,0.022944587346693412
1,red,0.035661639678144764
2,blue,0.07107407330283588
3,green,0.07651512744194434
4,emad,0.022725897211537734
5,smad,0.018661371578986154
6,bcmad,0.04436997224128588
7,count,0.036339664330247504
8,nir08,0.019898902128141372
9,nir09,0.03387185304102195
10,swir16,0.018796031179055185
11,swir22,0.018585888030246554
12,coastal,0.03727234306229752
13,rededge1,0.030954818373433706
14,rededge2,0.017827825869879004
15,rededge3,0.0233228252762187
16,cai,0.0476897968214384
17,ndvi,0.026906566681008725
18,ndwi,0.030376917968922935
19,mndwi,0.04106041830974875
20,ndti,0.05089980541219562
21,b_g,0.09698407900522514
22,b_r,0.04572782131734178
23,mci,0.02148186805961388
24,ndci,0.021736558697387824
25,ln_bg,0.08831334763514746
