algal_bloom,algal_bloom
rubbish,rubbish
rubble,rubble
mud,mud
silt,silt
seaweed,seaweed
rock,rock
sand,sand
coral,coral
deeps,deeps
seagrass,seagrass
mangrove,mangrove
microalgal_mat,microalgal_mat
land,land
